"gucode";"name";"la";"lo"
"동래구";"부산광역시 동래구 수안동 85-2 그린라인파크";35.198221;129.086246
"동래구";"부산광역시 동래구 수안동 56-2";35.197516;129.084383
"동래구";"부산광역시 동래구 수안동 56-2 그린라인파크";35.19802;129.087508
"동래구";"부산광역시 동래구 안락동 201-16 그린라인파크";35.193012;129.11332
"동구";"부산광역시 초량동 754-87";35.124431;129.036863
"금정구";"부산광역시 금정구 놀이마당로 6";35.275869;129.087247
"금정구";"부산광역시 금정구 두구로33번길 203";35.303859;129.110424
"금정구";"부산광역시 금정구 부곡동 80";35.241526;129.089188
"금정구";"부산광역시 금정구 산성로 459";35.249977;129.056582
"금정구";"부산광역시 금정구 서동 461-53";35.220982;129.098911
"금정구";"부산광역시 금정구 서동 산 91";35.221923;129.103589
"금정구";"부산광역시 금정구 오륜대로 260-2";35.247224;129.117418
"금정구";"부산광역시 금정구 중앙대로 1811";35.247018;129.094722
"금정구";"부산광역시 금정구 회동동 545-19";35.224059;129.117602
"기장군";"부산광역시 기장군 기장읍 대변리 443-13";35.224854;129.227862
"기장군";"부산광역시 기장군 기장읍 죽성리 381";35.238543;129.242717
"기장군";"부산광역시 기장군 기장읍 청강리 702-2";35.236407;129.217015
"기장군";"부산광역시 기장군 기장읍 죽성리 234-6";35.241183;129.246155
"기장군";"부산광역시 기장군 기장읍 죽성리 30-37";35.241747;129.246817
"기장군";"부산광역시 기장군 기장읍 내리 772";35.205763;129.205505
"기장군";"부산광역시 기장군 기장읍 동부리 305-1";35.245363;129.212273
"기장군";"부산광역시 기장군 동부리 249";35.244541;129.212521
"기장군";"부산광역시 기장군 기장읍 죽성리 84-4";35.242423;129.244596
"기장군";"부산광역시 기장군 기장읍 죽성리 134-7";35.241065;129.248137
"기장군";"부산광역시 기장군 기장읍 죽성리 134-10";35.240164;129.248038
"기장군";"부산광역시 기장군 기장읍 교리 360-1";35.253279;129.218801
"기장군";"부산광역시 기장군 기장읍 대라리 126-1";35.241729;129.214585
"기장군";"부산광역시 기장군 기장읍 교리 244-1";35.255066;129.216719
"기장군";"부산광역시 기장군 기장읍 대라리 184-6";35.235804;129.210786
"기장군";"부산광역시 기장군 일광면 칠암리 145-2";35.299079;129.256487
"기장군";"부산광역시 기장군 일광면 칠암리 149-8";35.298751;129.25591
"기장군";"부산광역시 기장군 일광면 삼성리 115-2";35.263303;129.233885
"기장군";"부산광역시 기장군 일광면 삼성리 372";35.263727;129.222449
"기장군";"부산광역시 기장군 일광면 삼성리 산33-4";35.26991;129.222323
"기장군";"부산광역시 기장군 일광면 이천리 395-9";35.265196;129.237009
"기장군";"부산광역시 기장군 일광면 화전리 111";35.279502;129.23171
"기장군";"부산광역시 기장군 일광면 삼성리 26-3";35.266308;129.23337
"기장군";"부산광역시 기장군 장안읍 길천리 191-1";35.328065;129.282481
"기장군";"부산광역시 기장군 장안읍 임랑리 145";35.316347;129.262574
"기장군";"부산광역시 기장군 장안읍 기룡리 301-1";35.346322;129.25376
"기장군";"부산광역시 기장군 장안읍 좌천리 151-3";35.313556;129.241727
"기장군";"부산광역시 기장군 장안읍 좌천리 111";35.311952;129.239558
"기장군";"부산광역시 기장군 정관읍 용수리 1291-1";35.328138;129.180772
"기장군";"부산광역시 기장군 정관읍 매학리 761-15";35.320112;129.181477
