"gucode";"name";"la";"lo"
"강서구";"부산강서결찰서";35.151159;128.832185
"강서구";"부산강서경찰서";35.052811;128.830939
"강서구";"부산강서경찰서";35.194902;128.902114
"강서구";"부산강서경찰서";35.21616;128.936663
"강서구";"부산강서경찰서";35.181218;128.954125
"강서구";"부산강서경찰서";35.112865;128.886288
"강서구";"부산강서경찰서";35.212035;128.982775
"강서구";"부산강서경찰서";35.107832;128.926962
"강서구";"부산강서경찰서";35.116465;128.906275
"강서구";"부산강서경찰서";35.089884;128.856421
"금정구";"부산금정경찰서";35.269592;129.088135
"금정구";"부산금정경찰서";35.227918;129.092437
"금정구";"부산금정경찰서";35.247068;129.091838
"금정구";"부산금정경찰서";35.216093;129.11655
"금정구";"부산금정경찰서";35.229083;129.085971
"금정구";"부산금정경찰서";35.272377;129.092984
"기장군";"부산기장경찰서";35.245881;129.217474
"기장군";"부산기장경찰서";35.256092;129.224925
"기장군";"부산기장경찰서";35.264146;129.232497
"기장군";"부산기장경찰서";35.312883;129.244275
"기장군";"부산기장경찰서";35.325354;129.178958
"기장군";"부산기장경찰서";35.27497;129.14862
"남구";"부산남부경찰서";35.137846;129.101975
"남구";"부산남부경찰서";35.139815;129.090138
"남구";"부산남부경찰서";35.140107;129.07095
"남구";"부산남부경찰서";35.153032;129.08965
"남구";"부산남부경찰서";35.114574;129.095725
"남구";"부산남부경찰서";35.125397;129.112404
"남구";"부산남부경찰서";35.124624;129.07825
"동구";"부산동부경찰서";35.141209;129.049035
"동구";"부산동부경찰서";35.129957;129.049175
"동구";"부산동부경찰서";35.134265;129.043512
"동구";"부산동부경찰서";35.137382;129.061363
"동구";"부산동부경찰서";35.137194;129.05614
"동구";"부산동부경찰서";35.117915;129.037637
"동래구";"부산동래경찰서";35.19381;129.09245
"동래구";"부산동래경찰서";35.207328;129.084467
"동래구";"부산동래경찰서";35.200491;129.084766
"동래구";"부산동래경찰서";35.200768;129.075538
"동래구";"부산동래경찰서";35.205748;129.066215
"동래구";"부산동래경찰서";35.21886;129.076925
"동래구";"부산동래경찰서";35.199609;129.097189
"부산진구";"부산진경찰서";35.152493;129.029489
"부산진구";"부산진경찰서";35.163332;129.039475
"부산진구";"부산진경찰서";35.14474;129.060238
"부산진구";"부산진경찰서";35.160182;129.054375
"부산진구";"부산진경찰서";35.167351;129.050113
"부산진구";"부산진경찰서";35.163849;129.061238
"부산진구";"부산진경찰서";35.147139;129.055462
"부산진구";"부산진경찰서";35.179018;129.051613
"부산진구";"부산진경찰서";35.174434;129.062564
"부산진구";"부산진경찰서";35.151451;129.065016
"북구";"부산북부경찰서";35.198751;129.0062
"북구";"부산북부경찰서";35.249628;129.013066
"북구";"부산북부경찰서";35.215524;129.005066
"북구";"부산북부경찰서";35.205557;129.039175
"북구";"부산북부경찰서";35.230094;129.009318
"북구";"부산북부경찰서";35.231851;129.009675
"사상구";"부산사상경찰서";35.151982;128.977175
"사상구";"부산사상경찰서";35.16761;128.9819
"사상구";"부산사상경찰서";35.174871;128.979185
"사상구";"부산사상경찰서";35.182968;128.978012
"사상구";"부산사상경찰서";35.150807;129.010175
"사상구";"부산사상경찰서";35.142624;128.983725
"사하구";"부산사하경찰서";35.088315;129.003225
"사하구";"부산사하경찰서";35.099448;128.988243
"사하구";"부산사하경찰서";35.063555;128.98243
"사하구";"부산사하경찰서";35.085693;128.978112
"사하구";"부산사하경찰서";35.093835;128.962414
"사하구";"부산사하경찰서";35.081445;128.968726
"사하구";"부산사하경찰서";35.104462;128.965253
"서구";"부산서부경찰서";35.117082;129.017362
"서구";"부산서부경찰서";35.109753;129.013295
"서구";"부산서부경찰서";35.08936;129.024637
"서구";"부산서부경찰서";35.100307;129.016163
"서구";"부산서부경찰서";35.09709;129.02365
"수영구";"부산남부경찰서";35.154424;129.115238
"수영구";"부산남부경찰서";35.157406;129.125364
"수영구";"부산연제경찰서";35.172683;129.101151
"수영구";"부산연제경찰서";35.170499;129.115916
"연제구";"부산연제경찰서";35.184045;129.073206
"연제구";"부산연제경찰서";35.182914;129.10464
"연제구";"부산연제경찰서";35.173901;129.093638
"연제구";"부산연제경찰서";35.18686;129.083124
"연제구";"부산연제경찰서";35.185976;129.10805
"연제구";"부산청";35.17912;129.07454
"영도구";"부산영도경찰서";35.092226;129.04001
"영도구";"부산영도경찰서";35.078325;129.07325
"영도구";"부산영도경찰서";35.094057;129.036712
"영도구";"부산영도경찰서";35.08774;129.0429
"영도구";"부산영도경찰서";35.091903;129.066193
"중구";"부산중부경찰서";35.100549;129.035613
"중구";"부산중부경찰서";35.105885;129.031379
"중구";"부산중부경찰서";35.105974;129.023312
"중구";"부산중부경찰서";35.107282;129.035788
"중구";"부산중부경찰서";35.103049;129.023787
"중구";"부산중부파출소";35.111917;129.032189
"해운대구";"부산해운대경찰서";35.225474;129.146731
"해운대구";"부산해운대경찰서";35.229016;129.160192
"해운대구";"부산해운대경찰서";35.194868;129.130412
"해운대구";"부산해운대경찰서";35.197492;129.1177
"해운대구";"부산해운대경찰서";35.18591;129.121588
"해운대구";"부산해운대경찰서";35.180631;129.200339
"해운대구";"부산해운대경찰서";35.167869;129.13946
"해운대구";"부산해운대경찰서";35.183951;129.123488
"해운대구";"부산해운대경찰서";35.177842;129.176381
"해운대구";"부산해운대경찰서";35.161709;129.178992
